month,region,purchase_type,license_year,license_count,license_year_count
2026-01-01,us-east-1,Commercial_Advanced,1,667,667
2026-01-01,eu-west-1,Commercial_Advanced,5,479,2395
2026-01-01,eu-west-1,Commercial_Advanced,1,376,376
2026-01-01,ap-southeast-1,Commercial_Advanced,5,320,1600
2026-01-01,ap-southeast-1,Commercial_Advanced,1,161,161
2026-01-01,us-east-1,Commercial_CBC_Pro,5,66,330
2026-01-01,ap-southeast-1,Commercial_CBC_Pro,3,51,153
2026-01-01,us-east-1,Internal_Promotion,1,46,46
2026-01-01,us-east-1,Commercial_Advanced,2,39,78
2026-01-01,ap-southeast-1,Internal_Promotion,1,30,30
2026-01-01,us-east-1,Commercial_Advanced,3,26,78
2026-01-01,eu-west-1,Commercial_Advanced,3,23,69
2026-01-01,eu-west-1,Commercial_Advanced,2,18,36
2026-01-01,us-east-1,Commercial_Advanced,5,17,85
2026-01-01,ap-southeast-1,Commercial_Advanced,2,16,32
2026-01-01,eu-west-1,Surveillance_IPC,1,13,13
2026-01-01,ap-southeast-1,Commercial_Advanced,3,9,27
2026-01-01,ap-southeast-1,Surveillance_IPC,5,5,25
2026-01-01,ap-southeast-1,Surveillance_IPC,1,4,4
2026-01-01,ap-southeast-1,Commercial_CBC_Pro,5,3,15
2026-01-01,eu-west-1,Commercial_Advanced,4,1,4
2026-01-01,us-east-1,Surveillance_IPC,1,1,1
2025-12-01,us-east-1,Commercial_Advanced,1,3461,3461
2025-12-01,eu-west-1,Commercial_Advanced,1,627,627
2025-12-01,eu-west-1,Commercial_Advanced,5,478,2390
2025-12-01,eu-west-1,Commercial_Advanced,3,424,1272
2025-12-01,ap-southeast-1,Commercial_Advanced,1,411,411
2025-12-01,us-east-1,Commercial_Advanced,5,277,1385
2025-12-01,us-east-1,Commercial_Advanced,3,133,399
2025-12-01,ap-southeast-1,Commercial_Advanced,3,115,345
2025-12-01,ap-southeast-1,Commercial_Advanced,5,97,485
2025-12-01,us-east-1,Commercial_Advanced,2,40,80
2025-12-01,eu-west-1,Surveillance_IPC,1,29,29
2025-12-01,ap-southeast-1,Surveillance_IPC,1,29,29
2025-12-01,ap-southeast-1,Commercial_Advanced,2,24,48
2025-12-01,ap-southeast-1,Commercial_CBC_Pro,3,20,60
2025-12-01,us-east-1,Commercial_CBC_Pro,1,10,10
2025-12-01,ap-southeast-1,Internal_Promotion,1,8,8
2025-12-01,us-east-1,Commercial_CBC_Pro,5,7,35
2025-12-01,eu-west-1,Commercial_Advanced,2,6,12
2025-12-01,eu-west-1,Surveillance_IPC,5,6,30
2025-12-01,ap-southeast-1,Surveillance_IPC,5,5,25
2025-12-01,us-east-1,Commercial_CBC_Pro,3,2,6
2025-12-01,us-east-1,Commercial_Advanced,4,1,4
2025-11-01,ap-southeast-1,Commercial_Advanced,5,10743,53715
2025-11-01,us-east-1,Commercial_Advanced,1,2763,2763
2025-11-01,eu-west-1,Commercial_Advanced,1,1459,1459
2025-11-01,ap-southeast-1,Commercial_Advanced,3,884,2652
2025-11-01,eu-west-1,Commercial_Advanced,5,791,3955
2025-11-01,ap-southeast-1,Commercial_Advanced,1,526,526
2025-11-01,us-east-1,Commercial_Advanced,5,505,2525
2025-11-01,eu-west-1,Commercial_Advanced,3,312,936
2025-11-01,us-east-1,Commercial_Advanced,3,129,387
2025-11-01,us-east-1,Commercial_Advanced,2,70,140
2025-11-01,ap-southeast-1,Internal_Promotion,1,60,60
2025-11-01,us-east-1,Commercial_CBC_Pro,3,34,102
2025-11-01,eu-west-1,Commercial_Advanced,2,14,28
2025-11-01,ap-southeast-1,Surveillance_IPC,1,8,8
2025-11-01,ap-southeast-1,Surveillance_IPC,5,5,25
2025-11-01,ap-southeast-1,Commercial_Advanced,2,4,8
2025-11-01,eu-west-1,Surveillance_IPC,1,3,3
2025-11-01,us-east-1,Surveillance_IPC,1,2,2
2025-11-01,ap-southeast-1,Commercial_CBC_Pro,5,1,5
2025-11-01,us-east-1,Surveillance_IPC,3,1,3
2025-11-01,us-east-1,Commercial_Advanced,4,1,4
2025-10-01,ap-southeast-1,Commercial_Advanced,1,10173,10173
2025-10-01,us-east-1,Commercial_Advanced,3,4486,13458
2025-10-01,us-east-1,Commercial_Advanced,1,1859,1859
2025-10-01,ap-southeast-1,Commercial_Advanced,5,1226,6130
